公告,#genre#
CCTV1,http://1.14.19.228:35455/itv/6000000001000029752.m3u8?cdn=wasusyt 
CCTV1,http://43.136.119.99/cqyx.php?id=cctv1 
CCTV1,http://114.253.165.121:10000/rtp/239.3.1.129:8008 
CCTV1,http://221.216.137.230:8012/rtp/239.3.1.129:8008 
CCTV1,http://221.221.146.211:8182/rtp/239.3.1.129:8008 
CCTV1-50-FPS,http://49.234.186.50:35455/itv/5000000004000002226.m3u8?cdn=bestzb 
CCTV1-50-FPS,http://1.14.19.228:35455/itv/5000000004000002226.m3u8?cdn=bestzb 
CCTV1-HEVC,http://49.234.186.50:35455/itv/1000000005000265001.m3u8?cdn=ystenlive 
CCTV1-HEVC,http://1.14.19.228:35455/itv/1000000005000265001.m3u8?cdn=ystenlive 
CCTV2-高码,http://49.234.186.50:35455/ysptp/cctv2.m3u8 
CCTV2-高码,http://1.14.19.228:35455/ysptp/cctv2.m3u8 
CCTV2,http://49.234.186.50:35455/itv/1000000001000023315.m3u8?cdn=ystenlive 
CCTV2,http://1.14.19.228:35455/itv/1000000001000023315.m3u8?cdn=ystenlive 
CCTV2,http://43.136.119.99/cqyx.php?id=cctv2 
CCTV2,http://114.253.165.121:10000/rtp/239.3.1.60:8084 
CCTV2,http://221.216.137.230:8012/rtp/239.3.1.60:8084 
CCTV2,http://221.221.146.211:8182/rtp/239.3.1.60:8084 
CCTV2-50-FPS,http://49.234.186.50:35455/itv/6000000001000014161.m3u8?cdn=wasusyt 
CCTV2-50-FPS,http://1.14.19.228:35455/itv/6000000001000014161.m3u8?cdn=wasusyt 
CCTV3-高码,http://49.234.186.50:35455/ysptp/cctv3.m3u8 
CCTV3-高码,http://1.14.19.228:35455/ysptp/cctv3.m3u8 
CCTV3,http://49.234.186.50:35455/itv/6000000001000022313.m3u8?cdn=wasusyt 
CCTV3,http://1.14.19.228:35455/itv/6000000001000022313.m3u8?cdn=wasusyt 
CCTV3,http://43.136.119.99/cqyx.php?id=cctv3 
CCTV3,http://114.253.165.121:10000/rtp/239.3.1.172:8001 
CCTV3,http://221.216.137.230:8012/rtp/239.3.1.172:8001 
CCTV3,http://221.221.146.211:8182/rtp/239.3.1.172:8001 
CCTV3-HEVC,http://49.234.186.50:35455/itv/1000000005000265003.m3u8?cdn=ystenlive 
CCTV3-HEVC,http://1.14.19.228:35455/itv/1000000005000265003.m3u8?cdn=ystenlive 
